Paper,Model,Year,Code,Stellar_tracks,Study_label,Paper_link,sigma_CCSN_km_s,sigma_strippedSN_km_s,alpha_CE,beta_MT,CE_optimistic_pessimistic,CE_prescription,lambda_CE,PISN_prescription,MT_stability,RMP,gamma_AM_loss,AM_loss_mechanism,Eddington_limited,f_WR,alpha_CE_notes,HG_donor_CE_survival,wind_prescription,tidal_prescription,NS_remnant_mass,IMF,initial_period_dist,mass_ratio_dist,f_bin,metallicity_range,SFR_model,max_NS_mass_Msun,sigma_ECSN_km_s,BHBH_rate_Gpc3yr,BHBH_frac_CHE,BHBH_frac_SMT,BHBH_frac_other_noCE,BHBH_frac_classicCE,BHBH_frac_SCCE,BHBH_frac_DCCE,BHBH_frac_other_CE,BHBH_total_frac_noCE,BHBH_total_frac_CE,BHNS_rate_Gpc3yr,BHNS_frac_CHE,BHNS_frac_SMT,BHNS_frac_other_noCE,BHNS_frac_classicCE,BHNS_frac_SCCE,BHNS_frac_DCCE,BHNS_frac_other_CE,BHNS_total_frac_noCE,BHNS_total_frac_CE,NSNS_rate_Gpc3yr,NSNS_frac_CHE,NSNS_frac_SMT,NSNS_frac_other_noCE,NSNS_frac_classicCE,NSNS_frac_SCCE,NSNS_frac_DCCE,NSNS_frac_other_CE,NSNS_total_frac_noCE,NSNS_total_frac_CE
Broekgaarden et al. (2022),B22-I-alpha2,2022,COMPAS,SSE,BRO22,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,265,30,2,thermal,pessimistic,standard,Nanjing,fit based on Marchant et al. (2019),zeta prescription,F12 delayed,specific AM of accreting star (Soberman et al. 1997),non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),True,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),No (pessimistic; HG donors do not survive CE — Dominik et al. 2012),"Hot stars (Teff≥12500K): Vink et al. (2000a,b) metallicity-dependent; Cool stars: max(Kudritzki &amp; Reimers 1978, Nieuwenhuijzen &amp; de Jager 1990) × metallicity factor (Kudritzki et al. 1989); WR: Belczynski et al. (2010) adapted from Hamann &amp; Koesterke (1998) × Vink &amp; de Koter (2005); LBV enhanced winds above Humphreys-Davidson limit (metallicity-independent)",Included via COMPAS/BSE framework; not separately varied in this study,Fryer et al. (2012) delayed (fiducial); gravitational mass from CO core mass; ECSN track for ONeMg cores,Kroupa (2001) broken power-law; M1: 10–150 M☉,Öpik (1924) flat-in-log; 0.01–1000 AU; circular at birth,"Uniform in q = M2/M1; q ∈ [0.01, 1); M2 ≥ 0.1 M☉ (Sana et al. 2012)",0.7 (Sana et al. 2012),"Flat-in-log; 10⁻⁴ ≤ Z ≤ 0.03; re-weighted to IllustrisTNG100 S(Z,z)","IllustrisTNG100 cosmological simulation; skewed log-normal S(Z,z); z_first=10 (van Son et al. 2022)","2.5 (fiducial; alternatives 2.0 and 3.0 tested in sub-models J, K)",30 (same Maxwellian as σ_strippedSN; no separate ECSN σ in COMPAS),52.191092834457,0.000000000000,0.375960862398,0.024355881332,0.458315807486,0.090531928151,0.050835520634,0.000000000000,0.400316743729,0.599683256271,46.13156565988,0.000000000000,0.06180865504,0.01959185741,0.72820378125,0.14269326769,0.04770243860,0.00000000000,0.08140051246,0.91859948754,51.70343403909,0.000000000000,0.00000000000,0.00183698025,0.22150156944,0.00260742081,0.77359453757,0.00045949193,0.00183698025,0.99816301975
Broekgaarden et al. (2022),B22-J-alpha10,2022,COMPAS,SSE,BRO22,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,265,30,10,thermal,pessimistic,standard,Nanjing,fit based on Marchant et al. (2019),zeta prescription,F12 delayed,specific AM of accreting star (Soberman et al. 1997),non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),True,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),No (pessimistic; HG donors do not survive CE — Dominik et al. 2012),"Hot stars (Teff≥12500K): Vink et al. (2000a,b) metallicity-dependent; Cool stars: max(Kudritzki &amp; Reimers 1978, Nieuwenhuijzen &amp; de Jager 1990) × metallicity factor (Kudritzki et al. 1989); WR: Belczynski et al. (2010) adapted from Hamann &amp; Koesterke (1998) × Vink &amp; de Koter (2005); LBV enhanced winds above Humphreys-Davidson limit (metallicity-independent)",Included via COMPAS/BSE framework; not separately varied in this study,Fryer et al. (2012) delayed (fiducial); gravitational mass from CO core mass; ECSN track for ONeMg cores,Kroupa (2001) broken power-law; M1: 10–150 M☉,Öpik (1924) flat-in-log; 0.01–1000 AU; circular at birth,"Uniform in q = M2/M1; q ∈ [0.01, 1); M2 ≥ 0.1 M☉ (Sana et al. 2012)",0.7 (Sana et al. 2012),"Flat-in-log; 10⁻⁴ ≤ Z ≤ 0.03; re-weighted to IllustrisTNG100 S(Z,z)","IllustrisTNG100 cosmological simulation; skewed log-normal S(Z,z); z_first=10 (van Son et al. 2022)","2.5 (fiducial; alternatives 2.0 and 3.0 tested in sub-models J, K)",30 (same Maxwellian as σ_strippedSN; no separate ECSN σ in COMPAS),29.914241313670,0.000000000000,0.651931862610,0.003585431721,0.148404290511,0.133053010577,0.063025291291,0.000000113291,0.655517294331,0.344482705669,17.81692591475,0.000000000000,0.16720976731,0.00711406825,0.29411097144,0.50879397748,0.02277121552,0.00000000000,0.17432383556,0.82567616444,54.81384934198,0.000000000000,0.00089689414,0.00113469801,0.57428951809,0.09499371528,0.32598510406,0.00270007041,0.00203159215,0.99796840785
Broekgaarden et al. (2022),B22-K-optimisticCE,2022,COMPAS,SSE,BRO22,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,265,30,1,thermal,optimistic,standard,Nanjing,fit based on Marchant et al. (2019),zeta prescription,F12 delayed,specific AM of accreting star (Soberman et al. 1997),non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),True,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),Yes (optimistic; HG donors survive CE),"Hot stars (Teff≥12500K): Vink et al. (2000a,b) metallicity-dependent; Cool stars: max(Kudritzki &amp; Reimers 1978, Nieuwenhuijzen &amp; de Jager 1990) × metallicity factor (Kudritzki et al. 1989); WR: Belczynski et al. (2010) adapted from Hamann &amp; Koesterke (1998) × Vink &amp; de Koter (2005); LBV enhanced winds above Humphreys-Davidson limit (metallicity-independent)",Included via COMPAS/BSE framework; not separately varied in this study,Fryer et al. (2012) delayed (fiducial); gravitational mass from CO core mass; ECSN track for ONeMg cores,Kroupa (2001) broken power-law; M1: 10–150 M☉,Öpik (1924) flat-in-log; 0.01–1000 AU; circular at birth,"Uniform in q = M2/M1; q ∈ [0.01, 1); M2 ≥ 0.1 M☉ (Sana et al. 2012)",0.7 (Sana et al. 2012),"Flat-in-log; 10⁻⁴ ≤ Z ≤ 0.03; re-weighted to IllustrisTNG100 S(Z,z)","IllustrisTNG100 cosmological simulation; skewed log-normal S(Z,z); z_first=10 (van Son et al. 2022)","2.5 (fiducial; alternatives 2.0 and 3.0 tested in sub-models J, K)",30 (same Maxwellian as σ_strippedSN; no separate ECSN σ in COMPAS),88.000810631809,0.000000000000,0.238062560621,0.015916557609,0.704926888682,0.034255193354,0.006204959633,0.000633840100,0.253979118230,0.746020881770,56.62479198221,0.000000000000,0.13314669703,0.04157123308,0.76171560253,0.05864532581,0.00371214065,0.00120900089,0.17471793012,0.82528206988,45.39872171875,0.000000000000,0.03221471370,0.04177805914,0.51349687813,0.00013274948,0.41143622984,0.00094136971,0.07399277284,0.92600722716
Broekgaarden et al. (2022),B22-L-rapid,2022,COMPAS,SSE,BRO22,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,265,30,1,thermal,pessimistic,standard,Nanjing,fit based on Marchant et al. (2019),zeta prescription,F12 rapid,specific AM of accreting star (Soberman et al. 1997),non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),True,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),No (pessimistic; HG donors do not survive CE — Dominik et al. 2012),"Hot stars (Teff≥12500K): Vink et al. (2000a,b) metallicity-dependent; Cool stars: max(Kudritzki &amp; Reimers 1978, Nieuwenhuijzen &amp; de Jager 1990) × metallicity factor (Kudritzki et al. 1989); WR: Belczynski et al. (2010) adapted from Hamann &amp; Koesterke (1998) × Vink &amp; de Koter (2005); LBV enhanced winds above Humphreys-Davidson limit (metallicity-independent)",Included via COMPAS/BSE framework; not separately varied in this study,Fryer et al. (2012) rapid; creates NS-BH mass gap,Kroupa (2001) broken power-law; M1: 10–150 M☉,Öpik (1924) flat-in-log; 0.01–1000 AU; circular at birth,"Uniform in q = M2/M1; q ∈ [0.01, 1); M2 ≥ 0.1 M☉ (Sana et al. 2012)",0.7 (Sana et al. 2012),"Flat-in-log; 10⁻⁴ ≤ Z ≤ 0.03; re-weighted to IllustrisTNG100 S(Z,z)","IllustrisTNG100 cosmological simulation; skewed log-normal S(Z,z); z_first=10 (van Son et al. 2022)","2.5 (fiducial; alternatives 2.0 and 3.0 tested in sub-models J, K)",30 (same Maxwellian as σ_strippedSN; no separate ECSN σ in COMPAS),40.525664826552,0.000000000000,0.545020941349,0.015631377308,0.377147232840,0.053574767068,0.008625681435,0.000000000000,0.560652318657,0.439347681343,122.64786167323,0.000000000000,0.02426075154,0.01281685541,0.92949077399,0.03256831938,0.00086329968,0.00000000000,0.03707760695,0.96292239305,22.98806507057,0.000000000000,0.00000000000,0.00584369927,0.30342490225,0.00042981136,0.69016759866,0.00013398846,0.00584369927,0.99415630073
Broekgaarden et al. (2022),B22-M-max-mNS:2,2022,COMPAS,SSE,BRO22,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,265,30,1,thermal,pessimistic,standard,Nanjing,fit based on Marchant et al. (2019),zeta prescription,F12 delayed,specific AM of accreting star (Soberman et al. 1997),non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),True,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),No (pessimistic; HG donors do not survive CE — Dominik et al. 2012),"Hot stars (Teff≥12500K): Vink et al. (2000a,b) metallicity-dependent; Cool stars: max(Kudritzki &amp; Reimers 1978, Nieuwenhuijzen &amp; de Jager 1990) × metallicity factor (Kudritzki et al. 1989); WR: Belczynski et al. (2010) adapted from Hamann &amp; Koesterke (1998) × Vink &amp; de Koter (2005); LBV enhanced winds above Humphreys-Davidson limit (metallicity-independent)",Included via COMPAS/BSE framework; not separately varied in this study,Fryer et al. (2012) delayed (fiducial); gravitational mass from CO core mass; ECSN track for ONeMg cores,Kroupa (2001) broken power-law; M1: 10–150 M☉,Öpik (1924) flat-in-log; 0.01–1000 AU; circular at birth,"Uniform in q = M2/M1; q ∈ [0.01, 1); M2 ≥ 0.1 M☉ (Sana et al. 2012)",0.7 (Sana et al. 2012),"Flat-in-log; 10⁻⁴ ≤ Z ≤ 0.03; re-weighted to IllustrisTNG100 S(Z,z)","IllustrisTNG100 cosmological simulation; skewed log-normal S(Z,z); z_first=10 (van Son et al. 2022)","2.5 (fiducial; alternatives 2.0 and 3.0 tested in sub-models J, K)",30 (same Maxwellian as σ_strippedSN; no separate ECSN σ in COMPAS),46.563257151082,0.000000000000,0.431850210697,0.039906734066,0.433722221598,0.078006767265,0.016514066374,0.000000000000,0.471756944763,0.528243055237,38.37698222255,0.000000000000,0.06323769462,0.03978945921,0.81369636225,0.07363931716,0.00963716676,0.00000000000,0.10302715383,0.89697284617,25.02517806861,0.000000000000,0.00000000000,0.00437041216,0.25871860062,0.00006356938,0.73671199006,0.00013542777,0.00437041216,0.99562958784
Broekgaarden et al. (2022),B22-N-max-mNS:3,2022,COMPAS,SSE,BRO22,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,265,30,1,thermal,pessimistic,standard,Nanjing,fit based on Marchant et al. (2019),zeta prescription,F12 delayed,specific AM of accreting star (Soberman et al. 1997),non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),True,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),No (pessimistic; HG donors do not survive CE — Dominik et al. 2012),"Hot stars (Teff≥12500K): Vink et al. (2000a,b) metallicity-dependent; Cool stars: max(Kudritzki &amp; Reimers 1978, Nieuwenhuijzen &amp; de Jager 1990) × metallicity factor (Kudritzki et al. 1989); WR: Belczynski et al. (2010) adapted from Hamann &amp; Koesterke (1998) × Vink &amp; de Koter (2005); LBV enhanced winds above Humphreys-Davidson limit (metallicity-independent)",Included via COMPAS/BSE framework; not separately varied in this study,Fryer et al. (2012) delayed (fiducial); gravitational mass from CO core mass; ECSN track for ONeMg cores,Kroupa (2001) broken power-law; M1: 10–150 M☉,Öpik (1924) flat-in-log; 0.01–1000 AU; circular at birth,"Uniform in q = M2/M1; q ∈ [0.01, 1); M2 ≥ 0.1 M☉ (Sana et al. 2012)",0.7 (Sana et al. 2012),"Flat-in-log; 10⁻⁴ ≤ Z ≤ 0.03; re-weighted to IllustrisTNG100 S(Z,z)","IllustrisTNG100 cosmological simulation; skewed log-normal S(Z,z); z_first=10 (van Son et al. 2022)","2.5 (fiducial; alternatives 2.0 and 3.0 tested in sub-models J, K)",30 (same Maxwellian as σ_strippedSN; no separate ECSN σ in COMPAS),34.590795474302,0.000000000000,0.545369409285,0.028121208214,0.340700123665,0.073637518726,0.012171740111,0.000000000000,0.573490617499,0.426509382501,48.46537883633,0.000000000000,0.05926987995,0.04791136547,0.81218297077,0.07645395902,0.00418182479,0.00000000000,0.10718124541,0.89281875459,26.21471583764,0.000000000000,0.00416049314,0.00454209801,0.26540051681,0.00204973307,0.72374907633,0.00009808264,0.00870259115,0.99129740885
Broekgaarden et al. (2022),B22-O-noPISN,2022,COMPAS,SSE,BRO22,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,265,30,1,thermal,pessimistic,standard,Nanjing,no PISN,zeta prescription,F12 delayed,specific AM of accreting star (Soberman et al. 1997),non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),True,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),No (pessimistic; HG donors do not survive CE — Dominik et al. 2012),"Hot stars (Teff≥12500K): Vink et al. (2000a,b) metallicity-dependent; Cool stars: max(Kudritzki &amp; Reimers 1978, Nieuwenhuijzen &amp; de Jager 1990) × metallicity factor (Kudritzki et al. 1989); WR: Belczynski et al. (2010) adapted from Hamann &amp; Koesterke (1998) × Vink &amp; de Koter (2005); LBV enhanced winds above Humphreys-Davidson limit (metallicity-independent)",Included via COMPAS/BSE framework; not separately varied in this study,Fryer et al. (2012) delayed (fiducial); gravitational mass from CO core mass; ECSN track for ONeMg cores,Kroupa (2001) broken power-law; M1: 10–150 M☉,Öpik (1924) flat-in-log; 0.01–1000 AU; circular at birth,"Uniform in q = M2/M1; q ∈ [0.01, 1); M2 ≥ 0.1 M☉ (Sana et al. 2012)",0.7 (Sana et al. 2012),"Flat-in-log; 10⁻⁴ ≤ Z ≤ 0.03; re-weighted to IllustrisTNG100 S(Z,z)","IllustrisTNG100 cosmological simulation; skewed log-normal S(Z,z); z_first=10 (van Son et al. 2022)","2.5 (fiducial; alternatives 2.0 and 3.0 tested in sub-models J, K)",30 (same Maxwellian as σ_strippedSN; no separate ECSN σ in COMPAS),39.225677462716,0.000000000000,0.497866887549,0.030917442371,0.380407409546,0.076838452928,0.013969807606,0.000000000000,0.528784329920,0.471215670080,43.94296755540,0.000000000000,0.05971557089,0.04643965645,0.81585195219,0.07321707920,0.00477574127,0.00000000000,0.10615522734,0.89384477266,25.31311040119,0.000000000000,0.00000000000,0.00581202026,0.26189356884,0.00023631482,0.73192322978,0.00013486630,0.00581202026,0.99418797974
Broekgaarden et al. (2022),B22-P-sigma:100,2022,COMPAS,SSE,BRO22,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,100,100,1,thermal,pessimistic,standard,Nanjing,fit based on Marchant et al. (2019),zeta prescription,F12 delayed,specific AM of accreting star (Soberman et al. 1997),non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),True,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),No (pessimistic; HG donors do not survive CE — Dominik et al. 2012),"Hot stars (Teff≥12500K): Vink et al. (2000a,b) metallicity-dependent; Cool stars: max(Kudritzki &amp; Reimers 1978, Nieuwenhuijzen &amp; de Jager 1990) × metallicity factor (Kudritzki et al. 1989); WR: Belczynski et al. (2010) adapted from Hamann &amp; Koesterke (1998) × Vink &amp; de Koter (2005); LBV enhanced winds above Humphreys-Davidson limit (metallicity-independent)",Included via COMPAS/BSE framework; not separately varied in this study,Fryer et al. (2012) delayed (fiducial); gravitational mass from CO core mass; ECSN track for ONeMg cores,Kroupa (2001) broken power-law; M1: 10–150 M☉,Öpik (1924) flat-in-log; 0.01–1000 AU; circular at birth,"Uniform in q = M2/M1; q ∈ [0.01, 1); M2 ≥ 0.1 M☉ (Sana et al. 2012)",0.7 (Sana et al. 2012),"Flat-in-log; 10⁻⁴ ≤ Z ≤ 0.03; re-weighted to IllustrisTNG100 S(Z,z)","IllustrisTNG100 cosmological simulation; skewed log-normal S(Z,z); z_first=10 (van Son et al. 2022)","2.5 (fiducial; alternatives 2.0 and 3.0 tested in sub-models J, K)",30 (same Maxwellian as σ_strippedSN; no separate ECSN σ in COMPAS),45.006889911673,0.000000000000,0.414898659896,0.082365871123,0.395574509025,0.086046718235,0.021114241720,0.000000000000,0.497264531020,0.502735468980,128.91041501287,0.000000000000,0.07021851029,0.12958112810,0.72404830238,0.07008738266,0.00606467657,0.00000000000,0.19979963839,0.80020036161,47.91068423525,0.000000000000,0.00000000000,0.01680889572,0.29917803661,0.00037334901,0.68352271519,0.00011700347,0.01680889572,0.98319110428
Broekgaarden et al. (2022),B22-Q-sigma:30,2022,COMPAS,SSE,BRO22,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,30,30,1,thermal,pessimistic,standard,Nanjing,fit based on Marchant et al. (2019),zeta prescription,F12 delayed,specific AM of accreting star (Soberman et al. 1997),non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),True,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),No (pessimistic; HG donors do not survive CE — Dominik et al. 2012),"Hot stars (Teff≥12500K): Vink et al. (2000a,b) metallicity-dependent; Cool stars: max(Kudritzki &amp; Reimers 1978, Nieuwenhuijzen &amp; de Jager 1990) × metallicity factor (Kudritzki et al. 1989); WR: Belczynski et al. (2010) adapted from Hamann &amp; Koesterke (1998) × Vink &amp; de Koter (2005); LBV enhanced winds above Humphreys-Davidson limit (metallicity-independent)",Included via COMPAS/BSE framework; not separately varied in this study,Fryer et al. (2012) delayed (fiducial); gravitational mass from CO core mass; ECSN track for ONeMg cores,Kroupa (2001) broken power-law; M1: 10–150 M☉,Öpik (1924) flat-in-log; 0.01–1000 AU; circular at birth,"Uniform in q = M2/M1; q ∈ [0.01, 1); M2 ≥ 0.1 M☉ (Sana et al. 2012)",0.7 (Sana et al. 2012),"Flat-in-log; 10⁻⁴ ≤ Z ≤ 0.03; re-weighted to IllustrisTNG100 S(Z,z)","IllustrisTNG100 cosmological simulation; skewed log-normal S(Z,z); z_first=10 (van Son et al. 2022)","2.5 (fiducial; alternatives 2.0 and 3.0 tested in sub-models J, K)",30 (same Maxwellian as σ_strippedSN; no separate ECSN σ in COMPAS),51.135615173076,0.000000000000,0.337881224378,0.094221406491,0.463193460183,0.083649297036,0.021054611913,0.000000000000,0.432102630869,0.567897369131,249.25387380094,0.000000000000,0.01654236314,0.21798997360,0.71851644684,0.04263686895,0.00431434748,0.00000000000,0.23453233673,0.76546766327,118.23298981961,0.000000000000,0.00000000000,0.09601861729,0.61414661856,0.00007900668,0.28970594780,0.00004980966,0.09601861729,0.90398138271
Broekgaarden et al. (2022),B22-R-noBHkick,2022,COMPAS,SSE,BRO22,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,0,0,1,thermal,pessimistic,standard,Nanjing,fit based on Marchant et al. (2019),zeta prescription,F12 delayed,specific AM of accreting star (Soberman et al. 1997),non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),True,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),No (pessimistic; HG donors do not survive CE — Dominik et al. 2012),"Hot stars (Teff≥12500K): Vink et al. (2000a,b) metallicity-dependent; Cool stars: max(Kudritzki &amp; Reimers 1978, Nieuwenhuijzen &amp; de Jager 1990) × metallicity factor (Kudritzki et al. 1989); WR: Belczynski et al. (2010) adapted from Hamann &amp; Koesterke (1998) × Vink &amp; de Koter (2005); LBV enhanced winds above Humphreys-Davidson limit (metallicity-independent)",Included via COMPAS/BSE framework; not separately varied in this study,Fryer et al. (2012) delayed (fiducial); gravitational mass from CO core mass; ECSN track for ONeMg cores,Kroupa (2001) broken power-law; M1: 10–150 M☉,Öpik (1924) flat-in-log; 0.01–1000 AU; circular at birth,"Uniform in q = M2/M1; q ∈ [0.01, 1); M2 ≥ 0.1 M☉ (Sana et al. 2012)",0.7 (Sana et al. 2012),"Flat-in-log; 10⁻⁴ ≤ Z ≤ 0.03; re-weighted to IllustrisTNG100 S(Z,z)","IllustrisTNG100 cosmological simulation; skewed log-normal S(Z,z); z_first=10 (van Son et al. 2022)","2.5 (fiducial; alternatives 2.0 and 3.0 tested in sub-models J, K)",30 (same Maxwellian as σ_strippedSN; no separate ECSN σ in COMPAS),49.481510729400,0.000000000000,0.350869837374,0.003616127983,0.536166513866,0.086943261806,0.022404258971,0.000000000000,0.354485965358,0.645514034642,197.06560415763,0.000000000000,0.03234011694,0.00029100580,0.91520517293,0.04946435254,0.00269935180,0.00000000000,0.03263112274,0.96736887726,25.65135627143,0.000000000000,0.00000000000,0.00467490282,0.27307282437,0.00018029220,0.72179072482,0.00028125579,0.00467490282,0.99532509718
Broekgaarden et al. (2022),B22-S-fWR:0-1,2022,COMPAS,SSE,BRO22,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,265,30,1,thermal,pessimistic,standard,Nanjing,fit based on Marchant et al. (2019),zeta prescription,F12 delayed,specific AM of accreting star (Soberman et al. 1997),non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),True,0.1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),No (pessimistic; HG donors do not survive CE — Dominik et al. 2012),"Hot stars (Teff≥12500K): Vink et al. (2000a,b) metallicity-dependent; Cool stars: max(Kudritzki &amp; Reimers 1978, Nieuwenhuijzen &amp; de Jager 1990) × metallicity factor (Kudritzki et al. 1989); WR: Belczynski et al. (2010) adapted from Hamann &amp; Koesterke (1998) × Vink &amp; de Koter (2005); LBV enhanced winds above Humphreys-Davidson limit (metallicity-independent)",Included via COMPAS/BSE framework; not separately varied in this study,Fryer et al. (2012) delayed (fiducial); gravitational mass from CO core mass; ECSN track for ONeMg cores,Kroupa (2001) broken power-law; M1: 10–150 M☉,Öpik (1924) flat-in-log; 0.01–1000 AU; circular at birth,"Uniform in q = M2/M1; q ∈ [0.01, 1); M2 ≥ 0.1 M☉ (Sana et al. 2012)",0.7 (Sana et al. 2012),"Flat-in-log; 10⁻⁴ ≤ Z ≤ 0.03; re-weighted to IllustrisTNG100 S(Z,z)","IllustrisTNG100 cosmological simulation; skewed log-normal S(Z,z); z_first=10 (van Son et al. 2022)","2.5 (fiducial; alternatives 2.0 and 3.0 tested in sub-models J, K)",30 (same Maxwellian as σ_strippedSN; no separate ECSN σ in COMPAS),94.716117597992,0.000000000000,0.578218886414,0.015828908032,0.367125123722,0.033410152352,0.005416929480,0.000000000000,0.594047794446,0.405952205554,57.83445478442,0.000000000000,0.06114443538,0.02961032829,0.85370290796,0.05152312092,0.00401920745,0.00000000000,0.09075476368,0.90924523632,24.11792326914,0.000000000000,0.00000000000,0.00409140726,0.25602677970,0.00077085993,0.73901044194,0.00010038242,0.00409140726,0.99590846399
Broekgaarden et al. (2022),B22-T-fWR:5,2022,COMPAS,SSE,BRO22,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,265,30,1,thermal,pessimistic,standard,Nanjing,fit based on Marchant et al. (2019),zeta prescription,F12 delayed,specific AM of accreting star (Soberman et al. 1997),non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),True,5,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),No (pessimistic; HG donors do not survive CE — Dominik et al. 2012),"Hot stars (Teff≥12500K): Vink et al. (2000a,b) metallicity-dependent; Cool stars: max(Kudritzki &amp; Reimers 1978, Nieuwenhuijzen &amp; de Jager 1990) × metallicity factor (Kudritzki et al. 1989); WR: Belczynski et al. (2010) adapted from Hamann &amp; Koesterke (1998) × Vink &amp; de Koter (2005); LBV enhanced winds above Humphreys-Davidson limit (metallicity-independent)",Included via COMPAS/BSE framework; not separately varied in this study,Fryer et al. (2012) delayed (fiducial); gravitational mass from CO core mass; ECSN track for ONeMg cores,Kroupa (2001) broken power-law; M1: 10–150 M☉,Öpik (1924) flat-in-log; 0.01–1000 AU; circular at birth,"Uniform in q = M2/M1; q ∈ [0.01, 1); M2 ≥ 0.1 M☉ (Sana et al. 2012)",0.7 (Sana et al. 2012),"Flat-in-log; 10⁻⁴ ≤ Z ≤ 0.03; re-weighted to IllustrisTNG100 S(Z,z)","IllustrisTNG100 cosmological simulation; skewed log-normal S(Z,z); z_first=10 (van Son et al. 2022)","2.5 (fiducial; alternatives 2.0 and 3.0 tested in sub-models J, K)",30 (same Maxwellian as σ_strippedSN; no separate ECSN σ in COMPAS),11.060407955896,0.000000000000,0.301401745509,0.030085064106,0.488609841573,0.146043037731,0.033860311081,0.000000000000,0.331486809615,0.668513190385,8.52082433281,0.000000000000,0.15545273526,0.22881560042,0.29623347822,0.29695917842,0.02253900769,0.00000000000,0.38426833568,0.61573166432,23.84849726852,0.000000000000,0.00000000000,0.00830038409,0.71993586864,0.00007711830,0.27168055237,0.00000607659,0.00830038409,0.99169961591
