from_modelname,to_modelname,using,travel_label,from_option,to_option,color code,legend,code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-K-optimisticCE,B22-F-unstableBB-optimistic,caseBB stability,unstable caseBB,always stable,always unstable,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-L-rapid,supernova,rapid SN,delayed,rapid,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-M-max-mNS:2,NS mass ,NS mass $\downarrow$ ,2.50,2.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-N-max-mNS:3,NS mass ,NS mass $\uparrow$ ,2.50,3.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-O-noPISN,PISN ,no PISN,with PISN ,no PISN,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-P-sigma:100,sigma,$\sigma_{cc} \downarrow$,265.00,100.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-P-sigma:100,B22-Q-sigma:30,sigma,$\sigma_{cc} \downarrow$,100.00,30.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-R-noBHkick,sigma ,no BH kick,265.00,0.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-S-fWR:0-1,wind,$f_\rm{WR} \ \downarrow$,1.00,0.10,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-T-fWR:5,wind,$f_\rm{WR} \ \uparrow$,1.00,5.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_1_beta0_25,Boesky_alphaCE_0_1_beta0_5,beta,$\beta \uparrow$ ,0.25,0.50,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_1_beta0_5,Boesky_alphaCE_0_1_beta0_75,beta,$\beta \uparrow$ ,0.50,0.75,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_5_beta0_25,Boesky_alphaCE_0_5_beta0_5,beta,$\beta \uparrow$ ,0.25,0.50,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_5_beta0_5,Boesky_alphaCE_0_5_beta0_75,beta,$\beta \uparrow$ ,0.50,0.75,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_2_beta0_25,Boesky_alphaCE_2_beta0_5,beta,$\beta \uparrow$ ,0.25,0.50,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_2_beta0_5,Boesky_alphaCE_2_beta0_75,beta,$\beta \uparrow$ ,0.50,0.75,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_10_beta0_25,Boesky_alphaCE_10_beta0_5,beta,$\beta \uparrow$ ,0.25,0.50,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_10_beta0_5,Boesky_alphaCE_10_beta0_75,beta,$\beta \uparrow$ ,0.50,0.75,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_1_beta0_25,Boesky_alphaCE_0_5_beta0_25,alpha,$\alpha \uparrow$ ,0.1,0.5,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_5_beta0_25,Boesky_alphaCE_2_beta0_25,alpha,$\alpha \uparrow$ ,0.5,2,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_2_beta0_25,Boesky_alphaCE_10_beta0_25,alpha,$\alpha \uparrow$ ,2,10,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_1_beta0_5,Boesky_alphaCE_0_5_beta0_5,alpha,$\alpha \uparrow$ ,0.1,0.5,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_5_beta0_5,Boesky_alphaCE_2_beta0_5,alpha,$\alpha \uparrow$ ,0.5,2,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_2_beta0_5,Boesky_alphaCE_10_beta0_5,alpha,$\alpha \uparrow$ ,2,10,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_1_beta0_75,Boesky_alphaCE_0_5_beta0_75,alpha,$\alpha \uparrow$ ,0.1,0.5,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_5_beta0_75,Boesky_alphaCE_2_beta0_75,alpha,$\alpha \uparrow$ ,0.5,2,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_2_beta0_75,Boesky_alphaCE_10_beta0_75,alpha,$\alpha \uparrow$ ,2,10,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_30_RMP_D,Boesky_sigma_30_RMP_M,supernova,MM SN,delayed,MM SN,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_30_RMP_D,Boesky_sigma_30_RMP_R,supernova,rapid SN,delayed,rapid,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_30_RMP_R,Boesky_sigma_30_RMP_M,supernova,MM SN,rapid,MM SN,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_265_RMP_D,Boesky_sigma_265_RMP_M,supernova,MM SN,delayed,MM SN,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_265_RMP_D,Boesky_sigma_265_RMP_R,supernova,rapid SN,delayed,rapid,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_265_RMP_R,Boesky_sigma_265_RMP_M,supernova,MM SN,rapid,MM SN,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_750_RMP_D,Boesky_sigma_750_RMP_M,supernova,MM SN,delayed,MM SN,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_750_RMP_D,Boesky_sigma_750_RMP_R,supernova,rapid SN,delayed,rapid,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_750_RMP_R,Boesky_sigma_750_RMP_M,supernova,MM SN,rapid,MM SN,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_30_RMP_D,Boesky_sigma_265_RMP_D,sigma,$\sigma_{cc} \uparrow$,30.00,265.00,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_265_RMP_D,Boesky_sigma_750_RMP_D,sigma,$\sigma_{cc} \uparrow$,265.00,750.00,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_30_RMP_R,Boesky_sigma_265_RMP_R,sigma,$\sigma_{cc} \uparrow$,30.00,265.00,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_265_RMP_R,Boesky_sigma_750_RMP_R,sigma,$\sigma_{cc} \uparrow$,265.00,750.00,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_30_RMP_M,Boesky_sigma_265_RMP_M,sigma,$\sigma_{cc} \uparrow$,30.00,265.00,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_265_RMP_M,Boesky_sigma_750_RMP_M,sigma,$\sigma_{cc} \uparrow$,265.00,750.00,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xing24_fiducial,Xing24_alpha_2,alpha,$\alpha \uparrow$ ,1.00,2.00,9,Xing (2024),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xing24_sigma_61_6,Xing24_sigma_150,sigma,$\sigma_{cc} \uparrow$,61.60,150.00,9,Xing (2024),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xing24_sigma_150,Xing24_fiducial,sigma,$\sigma_{cc} \uparrow$,150.00,265,9,Xing (2024),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R25-A-Fiducial,R25-A-Fiducial,none,fiducial,none,none,17,Romagnolo (2025),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R23-A-Fiducial,R23-A-Fiducial,none,fiducial,none,none,18,Romagnolo (2023),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R25-A-Fiducial,R25-B-RMAX,max radius,max radius,fiducial,limited ,11,Romagnolo (2025),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R25-C-Conv_ML1.5,R25-D-Conv_ML1.5_RMAX,max radius,max radius,fiducial,limited ,11,Romagnolo (2025),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R25-E-Conv_ML1.82_MLTpp,R25-E-Conv_ML1.82_MLTpp_RMAX,max radius,max radius,fiducial,limited ,11,Romagnolo (2025),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R25-A-Fiducial,R25-C-Conv_ML1.5,conv criteria,conv criteria,SSE,Klencki,11,Romagnolo (2025),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R25-A-Fiducial,R25-E-Conv_ML1.82_MLTpp,conv criteria,conv criteria,SSE,MESA,11,Romagnolo (2025),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R25-C-Conv_ML1.5,R25-E-Conv_ML1.82_MLTpp,conv criteria,conv criteria,Klencki,MESA,11,Romagnolo (2025),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R25-B-RMAX,R25-D-Conv_ML1.5_RMAX,conv criteria,conv criteria,SSE,Klencki,11,Romagnolo (2025),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R25-B-RMAX,R25-E-Conv_ML1.82_MLTpp_RMAX,conv criteria,conv criteria,SSE,MESA,11,Romagnolo (2025),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R25-D-Conv_ML1.5_RMAX,R25-E-Conv_ML1.82_MLTpp_RMAX,conv criteria,conv criteria,Klencki,MESA,11,Romagnolo (2025),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R23-A-Fiducial,R23-B-RMAX2,max radius,max radius,fiducial,Rmax METISSE BOOST ,12,Romagnolo (2023),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R23-A-Fiducial,R23-C-RMAX3,max radius,max radius,fiducial,Rmax METISSE MESA,12,Romagnolo (2023),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R23-A-Fiducial,R23-D-RMAX4,max radius,max radius,fiducial,Rmax MESA MLT+++,12,Romagnolo (2023),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R23-A-Fiducial,R23-E-RMAX4B,max radius,max radius,fiducial,Rmax MESA no MLT++,12,Romagnolo (2023),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R23-B-RMAX2,R23-C-RMAX3,max radius,max radius,Rmax METISSE BOOST ,Rmax METISSE MESA,12,Romagnolo (2023),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DT22-beta0-7-gamma1-zeta7-5,DT22-beta0-3-gamma1-zeta7-5-IT,DT22-beta0-3-gamma1-zeta7-5-IT,DT22-beta0-7-gamma1-zeta7-5-IT,DT22-beta0-7-gamma1-zeta7-5-IT,van Son (2022),van Son (2022),Briel (2022) ,Briel (2022) ,Briel (2022) - RAPID,Briel (2022) - RAPID,Briel (2022) - DELAYED,Briel (2022) - DELAYED,Olejak21-M380 (fiducial),Olejak21-M380 (fiducial),Olejak21-M480 (changedCEcriteria),Olejak21-M480 (changedCEcriteria),Olejak21-M481 (changedCEcriteria+switch),Olejak21-M481 (changedCEcriteria+switch)
R23-B-RMAX2,R23-D-RMAX4,max radius,max radius,Rmax METISSE BOOST ,Rmax MESA MLT+++,12,Romagnolo (2023),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R23-B-RMAX2,R23-E-RMAX4B,max radius,max radius,Rmax METISSE BOOST ,Rmax MESA no MLT++,12,Romagnolo (2023),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R23-C-RMAX3,R23-D-RMAX4,max radius,max radius,Rmax METISSE MESA,Rmax MESA MLT+++,12,Romagnolo (2023),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R23-C-RMAX3,R23-E-RMAX4B,max radius,max radius,Rmax METISSE MESA,Rmax MESA no MLT++,12,Romagnolo (2023),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R23-D-RMAX4,R23-E-RMAX4B,max radius,max radius,Rmax MESA MLT+++,Rmax MESA no MLT++,12,Romagnolo (2023),StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:N20,RG21-SN:rapid,supernova,rapid SN,N20,rapid,3,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:rapid,RG21-SN:delayed,supernova,delayed SN,rapid,delayed,3,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:delayed,RG21-SN:N20,supernova,N20 SN,delayed,N20,3,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
