.1.2.3,0.251849463,47.77644641,0.8825079731,24.75914616,0.9648015352,25.02731266,0.4848490039,73.49903476,0.9708088197,0.786863254,0.8727475852,39.26651446,0.9915474196,42.17630124,0.7649669266,30.2500068,0.2389405649,84.27881406,0.5165939479,120.383649,0.4070841546,64.52701269,0.2822593036,42.26587444,0.245,46.878,0.2516671109,49.57838004,0.2502321555,48.24913131,0.2719924554,85.5130672,0.5629557152,178.1847824,0.257895995,48.55431954,0.2099657402,44.83077963,0.4862108427,36.75658404
.1.3.1,0.3755491033,48.55063811,0.7560334657,22.88059677,0.9248172896,20.85766886,0.5933070499,63.81315664,0.9216668755,1.568020929,0.898164585,45.89230414,0.9626319556,49.36114608,0.8484145251,44.41711159,0.2051092,160.4571372,0.4112540155,290.2969864,0.4620401446,58.02300989,0.3934422573,40.23642201,0.392,45.962,0.360636195,52.69703444,0.3708647927,48.81590974,0.4167450919,84.37271665,0.6633742449,197.773731,0.3748591546,49.01864368,0.3452213644,44.35286884,0.3007138829,48.36199258
.1.3.2,0.158047711,47.61092,0.9189535868,22.45491251,0.9743424575,22.98904424,0.344503049,64.8999692,0.9669504594,0.59475254,0.8595775277,38.13761207,0.9933705024,44.24576796,0.7006460722,21.93127749,0.1710294163,72.76686642,0.4327398588,98.97139279,0.3538202025,67.24990199,0.1793719677,41.54254922,0.1493566424,46.65585095,0.1573915532,49.12827701,0.1555527779,48.01725729,0.1741356256,85.25884716,0.4624860522,158.7913419,0.1638597572,48.21322912,0.1544061601,45.27935803,0.5214107258,34.70254253
.1.3.3,0.2657844664,47.45545521,0.880446226,24.91716336,0.963544355,24.97763161,0.5020747754,74.34794816,0.9702885573,0.8058227983,0.8745303209,39.2081511,0.9915868222,40.66141209,0.7699720697,31.53754878,0.245951512,83.89833063,0.5092834702,127.2831002,0.4157082003,63.7319767,0.2971620373,42.13127183,0.2585243684,46.55248124,0.2652260971,49.37415958,0.2640440403,47.91782215,0.2861429557,84.98528211,0.5756929064,179.4661739,0.271659774,48.22237899,0.2173732263,44.6497651,0.4902401618,36.45234626
.2.1.1,0.4080434145,50.89480908,0.7613858794,25.15571278,0.9295501778,23.12228353,0.6344080662,69.43617603,0.940529333,1.715500011,0.905689553,50.97804439,0.9649348506,48.65861538,0.8567905943,50.78932311,0.2173854215,161.6684489,0.4324322819,292.8213165,0.4897501336,61.04870014,0.4124586269,42.13023876,0.4108655619,47.71324785,0.3907317964,55.16111941,0.3996197118,50.94114888,0.4430061503,89.39343829,0.6911851132,216.9797954,0.3994782816,51.08437279,0.3669027414,45.91874014,0.3327621612,50.14474331
.2.1.2,0.1441837399,48.86390169,0.9286562454,24.30228532,0.9795954535,24.4270478,0.3485731833,69.0691724,0.9806659749,0.6123016004,0.8615589544,41.01729904,0.9959823853,46.69509296,0.700420778,21.97611388,0.171289799,70.80478433,0.4656352229,85.8390596,0.3647154235,71.39482576,0.171081631,43.35199655,0.1387202753,48.21811977,0.1430774897,50.39054154,0.1435652691,49.48806844,0.1591588202,87.66469782,0.4484926033,161.0041996,0.1524454122,49.4267691,0.153467698,47.54129574,0.5329581162,36.43133407
.2.1.3,0.2633910272,48.7151398,0.8910583698,27.46194285,0.966741669,26.92326309,0.5258731757,81.56135934,0.9794033938,0.9047857347,0.8760908405,42.22510549,0.9961299277,42.06023562,0.7778389022,32.5500895,0.2725129048,80.8447134,0.57046763,111.5293643,0.4278397581,67.05178584,0.2983986542,44.01122339,0.2586153153,48.24061971,0.2578902438,49.88690593,0.2633875638,49.29408828,0.2804159976,87.07123707,0.570739871,182.6369874,0.2746891923,49.85545208,0.2121758272,46.43132651,0.5093128951,38.6520276
.2.2.1,0.3709713592,49.80535178,0.772191041,23.078042,0.9280583605,21.33466952,0.5817410528,65.50749568,0.9307968089,1.543115331,0.896680219,47.42682872,0.9632750884,49.4245148,0.8406984498,43.73373306,0.2086552639,159.1753095,0.3673230477,316.1694447,0.4557218961,59.29419994,0.3832367913,41.41068676,0.3804591711,46.81191419,0.356430664,53.91944987,0.3646489951,49.84831256,0.4051061391,86.96570242,0.6514913258,202.6577694,0.3656581046,50.32007088,0.3328152975,46.2254086,0.3128275445,47.8087043
.2.2.2,0.1665217285,47.82191812,0.9142537796,23.32385243,0.9731273682,22.76915667,0.3541092543,64.68473801,0.9659071541,0.7254832481,0.862266814,40.88408231,0.9913101503,43.50830677,0.7260809197,23.99187373,0.1658710924,77.03982286,0.369176068,133.5546299,0.3663840419,68.04553137,0.180548273,41.64810461,0.1540283175,46.52831843,0.1650900932,49.53457257,0.1619602645,48.09410223,1.76E-01,85.11480914,0.4618007691,158.9446405,0.1680954862,48.35553498,0.1598956861,46.36447708,0.5151791762,36.57965944
.2.2.3,0.2609116489,47.8531683,0.8801349196,25.64862025,0.9625662786,24.56311754,0.4981451733,73.74030154,0.971432379,0.9754807865,0.8751186714,42.0446684,0.9890945058,40.38472077,0.783858953,33.29808186,0.2296923484,87.49084204,0.4476132737,156.3760251,0.416754263,64.76388714,0.2831589589,42.31732131,2.52E-01,46.59694036,0.258754625,49.98822834,0.257832416,48.25319847,2.74E-01,85.27955648,0.5649571624,177.4659841,0.2640079935,48.58146694,0.2167477038,45.96408732,0.4873591465,38.40721781
.2.3.1,0.3764392195,49.4322003,0.759596125,22.77431136,0.9254009281,20.7447041,0.5880169695,63.37987554,0.9281160875,1.573297898,0.8988946553,48.71954517,0.962165419,49.27469431,0.8463392377,44.28932311,0.2064813148,162.5502482,0.3636867273,331.3243331,0.4624984121,59.02860648,0.3855197754,40.74146751,3.88E-01,46.48654858,0.3607510541,53.61816622,0.3693419805,49.44834989,4.11E-01,86.25873586,0.6552782082,203.1774607,0.3702720052,49.86554912,0.3409057209,45.69680047,0.3057463335,48.05626015
.2.3.2,0.172831944,47.48809719,0.9146719855,23.37053779,0.9720487294,22.60129008,0.3646691744,64.95109118,0.9668427409,0.7498466908,0.8620602345,40.70946882,0.9915959677,42.00889264,0.7304021479,24.57200088,0.1690555793,75.62970256,0.3646987073,139.9612756,0.3681103519,67.18463943,0.1869941892,41.49391262,1.60E-01,46.15284887,0.1712291782,49.2441744,0.1677828145,47.7218556,0.1803073389,84.41171969,0.4658894528,157.9898537,0.1736075826,47.98834393,0.1604146334,46.14520789,0.52369962,36.06984404
.2.3.3,0.2742120328,47.68136877,0.8787780992,25.91709741,0.9611913392,24.53114199,0.5131731144,74.63033686,0.970415845,0.9983240126,0.8767730374,41.97724384,0.9889117799,38.93368845,0.7895250796,34.96684095,0.2336715651,87.47295765,0.4511916617,161.8439639,0.4242152231,64.10419932,0.298574152,42.42466925,0.2657807147,46.40681574,0.2714400069,50.04458837,0.2710988654,48.08712777,0.2876175365,84.91256807,0.5771325744,178.7150084,0.278581353,48.35755207,0.2252596592,45.93114491,0.4906990769,38.26211402
.3.1.1,0.4074997926,33.33277216,0.7549634777,16.7480699,0.9290340546,15.56351742,0.638756057,46.63210472,0.9365928425,1.128857954,0.905044047,32.0584,0.9653252548,32.48945738,0.859016111,33.85652779,0.2166211447,106.6145109,0.4698502431,179.4293133,0.4895569636,40.02340102,0.4219568264,27.67195908,0.4146644542,31.47526023,0.3898632264,36.0422086,0.4018536904,33.53062496,0.4462196178,58.32570107,0.6943138882,141.9174279,0.4045582543,33.63747653,0.3708887023,29.80958411,0.3215647936,33.69126667
.3.1.2,0.1330830363,32.90313435,0.9344587751,15.63427589,0.9811960376,16.70347721,0.3253652024,45.66439374,0.9833224662,0.3202409856,0.8595941032,25.71997355,0.9973680645,32.84321143,0.6587192738,12.76287994,0.1728305018,45.90208208,0.5392024407,40.23204175,0.3526077223,47.93262796,0.161,28.83585187,0.1270137624,32.55956194,0.1331310693,33.67681764,0.1326443761,33.272,0.1530113089,59.33262729,0.4436055476,109.0231868,0.1415384496,33.33119557,0.143438948,31.06849713,0.5335713696,23.43668298
.3.1.3,0.2543013266,32.60666483,0.8919970273,17.64431088,0.9676250509,18.2813213,0.5109106336,54.24011574,0.9886037221,0.4830356632,0.8734949611,26.20273568,0.997195989,29.70719653,0.7546616064,19.59315018,0.2798173426,53.09511241,0.6076074538,63.24581179,0.414388848,44.48795592,0.295,29.36966928,0.2478787485,32.3644404,0.2557834741,33.47633924,0.2541743703,32.97808303,0.2744568461,58.57841241,0.5653094133,123.1583133,0.2629550317,33.25072191,0.203738423,30.37308385,0.5077999256,24.52418678
.3.2.1,0.3721585144,33.01900488,0.7689891453,15.65192017,0.9276668861,14.5465233,0.5868083811,44.48265828,0.9278962219,1.062229598,0.8960761498,29.85073535,0.9634598913,33.39656897,0.8442073017,29.91768591,0.205523293,106.1989325,0.4087806001,192.1082481,0.4559511194,39.25630323,0.391,27.56089196,0.3851943737,31.14648159,0.356639593,35.80963682,0.3672846662,33.17510704,0.408227592,57.39671202,0.6575396431,132.5748124,0.370542473,33.34571491,0.3378819662,30.24047523,0.3088775509,32.38128906
.3.2.2,0.1583714665,32.37637467,0.9164586455,15.40104586,0.9742734146,15.76997294,0.3458680528,44.097157,0.9689176289,0.4271502362,0.8608571152,25.72505911,0.9926448107,30.89404851,0.7111376167,15.17037102,0.1683044632,51.05455928,0.4420272693,67.27010854,0.3564647595,45.92233106,0.178739449,28.13149524,0.1486477152,31.66558132,0.1570896096,33.41020825,0.1557891455,32.65182259,0.173284751,57.85524746,0.4612624968,107.6914912,0.1642182177,32.78265703,0.1578145505,30.63066764,0.5100144541,24.14353783
.3.2.3,0.2567536873,32.18808831,0.8806976623,16.96377763,0.9637591764,16.94917896,0.4937031966,49.99111742,0.9728805411,0.5730557257,0.8736056917,26.35368523,0.9909796506,28.38509654,0.7747110978,21.20914113,0.2374724964,57.75028385,0.5095763379,86.20935642,0.4099918491,43.4023561,0.2859959037,28.4318553,0.2484195926,31.50088213,0.2556032782,33.43434675,0.2548458839,32.49791185,0.2740664845,57.46095195,0.5644732729,119.7917564,0.2630017815,32.7244798,0.2134585765,30.14868317,0.4832513052,25.24770377
.3.3.1,0.3771216374,32.70575316,0.7563102721,15.42256773,0.9246757744,14.07774951,0.592792035,42.93047192,0.925544033,1.089036668,0.8983049892,30.66535824,0.9620446422,33.15924384,0.8500899655,30.34984981,0.2025176835,108.424795,0.4024831973,202.7129414,0.462371133,39.00096507,0.392289803,27.05781036,0.3928907773,30.86187026,0.3605308786,35.56655853,0.3715537744,32.84765955,0.4145885523,56.80051607,0.6611800767,132.4899584,0.3750505203,32.97086851,0.3459745336,29.85272971,0.3020236077,32.60893658
.3.3.2,0.164252063,32.11380412,0.91639908,15.41150483,0.9731650867,15.66197019,0.3575866382,44.34219155,0.9697391058,0.4416274579,0.8605115596,25.58961501,0.9929226949,29.91060718,0.7155039646,15.53001188,0.1727172267,50.09794812,0.4295551336,71.66143516,0.3576414307,45.27333051,0.1850587773,28.00512189,0.1543085506,31.39938782,0.1628358913,33.1700141,0.1613711196,32.37543867,0.1775147786,57.37026315,0.4654845203,107.0949875,0.1697719632,32.50998407,0.1579019744,30.45680916,0.5174740306,23.7994993
.3.3.3,0.270257656,31.95514102,0.8787553804,17.06098095,0.9625214353,16.87994353,0.5100224722,50.4713862,0.9722382926,0.5847141605,0.8753824492,26.31850037,0.9909564325,27.31781002,0.7795340511,22.10285256,0.243500198,57.46124536,0.5025166395,91.00322108,0.4183452135,42.85549615,0.3002913901,28.31410644,0.2619492861,31.26296917,0.268721246,33.2817034,0.2682090475,32.257716,0.287783306,57.07556066,0.5768302274,120.5344555,0.276423213,32.48848025,0.2209044849,30.02416025,0.4870960704,25.05496573
