ADS year,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
.1.1.2,0.00810131115,40.31610525,0,17.39945329,0,10.39661536,0.02780635876,5.445862883,0.003344413853,8.318194285,0.001065710669,32.33618277,0.007713386783,2.974844095,0.00320544824,10.5746347,0.04772925009,49.95417181,0.02416924658,20.05980665,0.00633213051,51.83535374,0.001342011779,118.8354834,0.01387018421,35.60065739,0.00653371869,44.51969461,0.00790304128,41.07228595,0.009226212354,119.6025763,0.007301038277,229.6579351,0.004864158902,184.7196203,0.005133818161,56.53396478,0.03939215843,7.919287778,,,,,,,,,,,,,,,,,,
.1.1.3,0.003820021031,73.82163192,0,28.43969978,0,15.2148203,0.0203627,7.033815208,0.0006954647292,14.30571244,0.0002737055496,51.73997289,0.003788008053,4.991651652,0.003257525066,17.35919416,0.03242546909,79.69939177,0.01349213427,21.95800229,0.003006236868,94.15104238,0.000573388086,215.8472919,0.009546971858,65.99713802,0.00292896174,80.57546768,0.003791354337,75.24055075,0.004078011853,222.8097289,0.003202109516,445.5072366,0.002027226943,352.4266401,0.002224434877,101.1330362,0.02870428851,8.165580468,,,,,,,,,,,,,,,,,,
.1.2.1,0.01965173053,189.8575983,0,98.0727557,0,65.05448661,0.03305715943,45.6272501,0.003423053518,44.13873365,0.002133207056,199.6796103,0.01730538898,11.56829068,0.005050828206,74.94418484,0.09686012211,241.3876649,0.03541410065,191.6032833,0.0150164373,249.8039947,0.007309621291,392.2403559,0.02766445564,152.1068077,0.01577194785,221.7411964,0.0196787813,193.1665069,0.02294283553,460.0198456,0.01931010722,758.469241,0.01398229438,573.4033836,0.01818001492,186.2429021,0.04021281802,88.58812826,,,,,,,,,,,,,,,,,,
.1.2.2,0.01460943785,58.14253363,0,27.58100075,0,18.86077924,0.03058661896,11.81638195,0.003061154769,12.70664362,0.00144557639,47.15395353,0.0101704187,4.309182604,0.004342593494,17.55091958,0.07095214886,80.73688124,0.03248301934,54.33927723,0.01144672466,74.58424064,0.003452479562,148.1963104,0.02084531124,49.593,0.01170959015,65.6152134,0.01464521542,59.06717256,0.01737881999,159.2295868,0.01440610828,288.1186423,0.01030055831,223.6083783,0.01110517929,69.71861359,0.04185672668,20.00089161,,,,,,,,,,,,,,,,,,
.1.2.3,0.01040281258,87.17851731,0,37.93396694,0,24.58833436,0.03053827582,14.37665542,0.002422141442,18.53271637,0.0009991416722,66.38350219,0.009303121217,6.022441357,0.004075076981,24.81798472,0.05884593061,110.5713133,0.02776248633,54.18521047,0.008123034936,112.1631524,0.002262397848,225.8659735,0.017,75.190,0.008494767532,97.64244775,0.01038081782,88.74500616,0.012512621,245.1669107,0.01007129552,460.3194891,0.006910645167,355.6648341,0.00768491712,104.6753557,0.03889411599,22.44892665,,,,,,,,,,,,,,,,,,
.1.3.1,0.0191785658,198.3570617,0,102.255686,0,67.82267636,0.03322083333,47.46872346,0.003324494483,46.68473175,0.001925178415,213.8284417,0.01772255561,12.04819334,0.004870207485,80.71711079,0.0964685082,251.2982478,0.03520226246,203.2832843,0.01457425909,262.4535676,0.007078308332,405.1930868,0.027,158.455,0.01548972873,232.0551353,0.01916228233,201.742619,0.02297334885,477.1582962,0.01970710308,778.1409606,0.01415909815,587.5731125,0.01799009147,192.5865154,0.04012172322,90.47328834,,,,,,,,,,,,,,,,,,
.1.3.2,0.01533114987,58.69181244,0,27.86868527,0,19.85591987,0.02985257693,12.52073549,0.00339960461,12.73327117,0.001385461727,44.73478137,0.009898730178,4.554854271,0.004571645471,17.2712722,0.07247163247,84.93669772,0.03372099439,61.14227153,0.01211967728,74.61126438,0.003389402182,150.002479,0.02097803957,50.46542775,0.01225610581,65.93910901,0.01534509648,59.65515073,0.01888472855,161.5514378,0.01558375154,293.5840186,0.01110191328,226.762928,0.01150484861,71.02235031,0.04249718543,20.93679785,,,,,,,,,,,,,,,,,,
.1.3.3,0.01104677814,89.48378341,0,38.97422726,0,26.13634354,0.02999575378,15.48804226,0.002840717862,18.92964995,0.001025975637,64.94176807,0.009134239856,6.394109488,0.004278509143,24.98409598,0.06041462772,116.7386341,0.02915963094,60.27116371,0.008690325957,114.2736554,0.002283483751,230.528007,0.01715844849,77.64356426,0.008966886004,99.9348418,0.01092470244,91.14790178,0.01358451352,253.0538146,0.01093564092,477.0096001,0.007502911037,367.0483241,0.008155048666,107.2610352,0.04012704278,24.08548957,,,,,,,,,,,,,,,,,,
.2.1.1,0.01870417811,199.0068383,0,101.4740559,0,70.71246571,0.03474987097,47.50584746,0.003166167308,48.13720823,0.001537806313,220.4221047,0.01619933796,12.679161,0.004237292791,82.09614672,0.09008751947,262.2380424,0.03456678713,191.4588061,0.01404713303,266.1225831,0.006172084435,409.105115,0.02723166838,159.2136318,0.01504714325,232.1693329,0.01857321745,202.4069511,0.02340771778,486.8849778,0.02090810647,799.3961829,0.01508915372,607.1471085,0.01744462296,193.1409293,0.03969967594,85.93620534,,,,,,,,,,,,,,,,,,
.2.1.2,0.0131882107,51.45755125,0,24.8151368,0,17.76064303,0.02784332042,9.900705582,0.008999692439,11.60718558,0.00287072513,38.86239543,0.01052545186,4.391103361,0.002962684923,14.32859927,0.06090727328,79.12999176,0.03067031509,46.00287137,0.01019737161,66.9715311,0.002094415648,141.5964735,0.02018486851,44.72184416,0.01070451124,57.59791541,0.01245535797,52.49961723,0.01695809478,147.6945006,0.01409124697,269.2459041,0.009600495786,212.8240356,0.01054982944,66.95176124,0.04413165602,15.59656965,,,,,,,,,,,,,,,,,,
.2.1.3,0.005833408393,83.95198574,0,34.82441906,0,20.80272921,0.02266921581,9.728445558,0.001073279632,18.30812722,0.0003974727778,60.79791029,0.004655267533,6.39098986,0.004322502471,19.91785177,0.03653819795,112.2208372,0.01566987459,33.85447776,0.004496926285,109.7063987,0.0007258203006,240.0361447,0.01349844331,73.72549302,0.004248669098,93.17123101,0.005762998784,85.52478602,0.006191086953,246.9355523,0.005358155553,473.5173371,0.003541628382,372.3329062,0.00362935495,108.5572746,0.03287438216,12.77935212,,,,,,,,,,,,,,,,,,
.2.2.1,0.02119401385,183.8493042,0,99.43780887,0,68.35640184,0.030986019,48.38979366,0.003602773386,43.67646059,0.002210823704,204.5290607,0.01602209633,12.16160531,0.00477961471,75.21191277,0.09952078636,253.0076984,0.0358465887,251.3874747,0.01623396109,241.2005442,0.008002406657,367.5053769,0.02988158154,145.8140411,0.01682795794,214.8204301,0.02168475065,186.1890395,0.02591543147,442.1436015,0.02229990134,725.6610501,0.01686232607,543.7798481,0.02140938944,178.9421656,0.04164605898,92.24544965,,,,,,,,,,,,,,,,,,
.2.2.2,0.01788868992,66.19345786,0,33.40345848,0,25.65972295,0.02785071277,16.64652231,0.004326272631,14.89157324,0.001856988634,51.59451139,0.01046947818,5.439620504,0.003979339188,20.43135748,0.07741346485,106.9415958,0.03398039773,100.3784534,0.0140568114,84.75239093,0.004169065608,158.9240325,0.02450674805,55.67280464,0.01434719935,74.65525551,0.01938749363,66.71040361,2.36E-02,176.1275899,0.02016738304,310.1409513,0.01525078315,236.0331142,0.01695537904,75.53873202,0.04307790075,27.96799871,,,,,,,,,,,,,,,,,,
.2.2.3,0.01373905821,94.47323773,0,44.15730197,0,32.06770656,0.0295769775,19.51775896,0.004167008798,21.21306335,0.001547541036,71.97035195,0.0104731865,7.232437552,0.00400495888,27.83123413,0.06567696931,140.085648,0.03117321681,92.2590274,0.01069692355,121.9366687,0.002848649233,234.4200935,2.09E-02,80.42551853,0.01106892358,106.4825775,0.01435687034,95.93883502,1.80E-02,259.7937419,0.01477582801,472.4447049,0.01062993888,361.2983999,0.01190140772,108.4710594,0.04128980742,31.10373821,,,,,,,,,,,,,,,,,,
.2.3.1,0.02064670071,191.3754036,0,103.3451843,0,70.89561046,0.03104618352,50.12606347,0.003530708405,46.07109188,0.002000615227,218.8005286,0.01644304545,12.62362938,0.00459821731,80.72920976,0.09928335353,261.6218528,0.03570240325,263.2115103,0.01573378997,252.429942,0.00776920986,378.3780992,2.95E-02,151.3385806,0.01655418266,224.0053315,0.02105543581,193.7581225,2.59E-02,457.4252372,0.02263023092,743.5303174,0.01694738494,557.0269729,0.02116065293,184.7280776,0.04157364286,93.96024435,,,,,,,,,,,,,,,,,,
.2.3.2,0.0186931394,66.8380702,0,33.82953666,0,26.87388212,0.02731135973,17.46875417,0.004896965866,14.98373055,0.001901010134,49.13926531,0.01027353209,5.735688611,0.00415214709,20.3331951,0.07882547421,111.3827886,0.03518359483,106.8680028,0.01480105225,84.94400544,0.004157361682,160.758462,2.48E-02,56.84509465,0.01500148236,75.16199481,0.01993490834,67.54444427,0.02498457213,178.9387131,0.02133081127,316.1088093,0.01610937775,239.3665405,0.01709069948,76.92934001,0.04318290348,29.20250442,,,,,,,,,,,,,,,,,,
.2.3.3,0.01489479609,96.93365761,0,45.87533838,0,34.18502649,0.02953575794,20.92933568,0.005248460903,21.86374744,0.00181939955,70.64027451,0.01019316957,7.742133074,0.004224868361,28.50187581,0.06790846924,147.3157629,0.03231628341,95.92113385,0.01167390381,124.2454903,0.002967170519,238.7797574,0.02187997755,83.20600993,0.01192401894,109.1095658,0.01472470238,98.64773457,0.01926339167,268.5064097,0.01624069051,488.7933883,0.01166712556,372.1763594,0.01245784571,111.1483834,0.04291216195,33.61433106,,,,,,,,,,,,,,,,,,
.3.1.1,0.01683480079,137.8476897,0,67.42518355,0,45.20051547,0.03673132331,30.12779695,0.002977957872,32.71032277,0.001479456907,144.3367739,0.01759396489,8.212935818,0.004493891479,54.53165234,0.08538836502,171.8387419,0.03183600592,101.7927367,0.0126442922,184.3233122,0.005540548352,291.3253377,0.02505790013,110.8342877,0.01364504676,160.6587465,0.01658329396,140.3358431,0.02054741931,338.8258096,0.01819582398,559.1206191,0.01269875854,425.4571077,0.0150750106,134.1285395,0.03938113189,54.76541443,,,,,,,,,,,,,,,,,,
.3.1.2,0.008143267991,29.23476145,0,12.63977014,0,7.611290925,0.02807971692,3.954758705,0.003049767536,6.05802782,0.001010569674,22.67044825,0.007578173898,2.195745741,0.003324034866,7.422439052,0.0467729207,37.10287662,0.02355789984,14.48879353,0.00634640782,37.68297937,0.001,86.64660419,0.01396880119,25.85434113,0.006486575522,32.32316149,0.007959343195,29.778,0.009281572319,86.48529551,0.007453933004,164.8897941,0.004997356903,132.5681579,0.00504590482,40.84515525,0.03959773166,5.744311238,,,,,,,,,,,,,,,,,,
.3.1.3,0.003922828239,52.52364523,0,20.28784527,0,11.04704209,0.02044996168,5.095167973,0.0006928349953,10.29388842,0.0002746486189,36.20769257,0.003783191023,3.613560177,0.003349153066,12.08366845,0.03246017701,58.40712469,0.01347711529,16.11922199,0.003072521065,67.2514261,0.001,153.565853,0.00978707533,46.95410911,0.00297298411,57.46480874,0.003889140608,53.53167334,0.004249476497,157.5445611,0.003389030648,311.7935633,0.002161572986,246.5673503,0.002279102917,71.14653626,0.02885534587,5.972192515,,,,,,,,,,,,,,,,,,
.3.2.1,0.02044624166,128.1953477,0,67.20746831,0,45.30392972,0.03290671061,31.88656299,0.003592652306,30.00488783,0.002177725756,133.7731369,0.01713878569,8.074571027,0.005033285256,50.87059114,0.09779179658,167.6875844,0.0358086177,137.9336079,0.01564586919,168.4080316,0.007,263.0817418,0.0285642304,102.7031276,0.01631134546,149.7835708,0.02037623906,130.4030934,0.02423097043,310.8759184,0.02067536182,510.4171623,0.01506191303,384.7525175,0.01886240732,125.4735257,0.04092243778,61.6550434,,,,,,,,,,,,,,,,,,
.3.2.2,0.01520701794,41.32841088,0,19.84906568,0,13.79326948,0.03081781525,8.635980902,0.003140300931,9.122486424,0.001477848364,32.6069853,0.009985745502,3.158959474,0.004385818231,12.34871614,0.07096151915,59.34005575,0.03271933208,40.00857233,0.01190511552,53.04399332,0.003486295805,105.4054526,0.02149799769,35.29271676,0.01205710731,46.70487103,0.01509575496,41.99500834,0.01821872276,113.1403356,0.01533527884,203.1951986,0.01104319127,157.3762727,0.01140143967,49.34351146,0.04262213389,14.60468525,,,,,,,,,,,,,,,,,,
.3.2.3,0.0109197492,61.1610879,0,26.95988907,0,17.80343874,0.03090629101,10.43541421,0.002466279653,13.19077819,0.001022529988,45.81287603,0.009298948262,4.346003273,0.004146638821,17.26709448,0.05925838542,80.52768235,0.02797814207,39.71162576,0.008509296577,78.82500965,0.002328241739,158.2239316,0.01756959789,52.72587475,0.008837828726,68.67413978,0.01082260465,62.25679986,0.01326063982,171.440799,0.01087325579,318.8324534,0.007508293298,245.9333638,0.008035874686,72.75183453,0.03955464243,16.37212667,,,,,,,,,,,,,,,,,,
.3.3.1,0.01998686869,133.7703941,0,70.01565899,0,47.1932202,0.0330697466,33.16890508,0.00351348952,31.6852008,0.001974094306,143.1313518,0.01760457867,8.396380631,0.00484674004,54.71822678,0.0975584739,174.1826915,0.03559925754,146.0560096,0.01521443917,176.674169,0.007275452123,271.3844972,0.02820587424,106.8681675,0.01606429935,156.5491761,0.01987064718,136.0179368,0.02428604745,322.1462034,0.02111037714,523.3362593,0.01525402119,394.0904961,0.01870192185,129.6677789,0.04088747667,63.01005257,,,,,,,,,,,,,,,,,,
.3.3.2,0.01588458377,41.84310494,0,20.09912681,0,14.51033441,0.0300937005,9.137063371,0.003447864883,9.173438189,0.001420236441,31.05624966,0.009733537115,3.333654247,0.004610358046,12.1952018,0.07231941821,62.36377808,0.03382142597,44.69265354,0.01254126745,53.24208346,0.003424526329,106.9567449,0.02160731534,35.9988501,0.01255907673,47.08219635,0.01575106438,42.53424416,0.01963021233,115.062903,0.01644653444,207.4509188,0.01180342972,159.9518821,0.01178515365,50.35487059,0.04316499567,15.27855122,,,,,,,,,,,,,,,,,,
.3.3.3,0.01154161564,62.74136955,0,27.68810486,0,18.88620662,0.03035206078,11.21722946,0.002841356965,13.49659941,0.001044662377,44.92455179,0.009145209099,4.601128179,0.004353354297,17.40307881,0.06063323335,84.92398022,0.02922778163,43.94442299,0.009055035079,80.31498594,0.002352157838,161.2224518,0.01789574516,54.38211243,0.009286851213,70.27749862,0.01136757092,63.90016396,0.01430929106,176.7090754,0.01172110953,329.6317042,0.008098032387,253.1632258,0.008520877132,74.33529192,0.04061068419,17.51995553,,,,,,,,,,,,,,,,,,
